iter	Logloss
0	0.6716672989
1	0.6553613649
2	0.6405131805
3	0.630110701
4	0.6207394747
5	0.6137203599
6	0.6061058564
7	0.5974677272
8	0.5913858687
9	0.5859735682
10	0.581383654
11	0.576379468
12	0.5729747503
13	0.5672550676
14	0.5632208327
15	0.5610415742
16	0.5575046709
17	0.5546112449
18	0.5525456656
19	0.5497635695
20	0.5465537153
21	0.5449369233
22	0.5438383351
23	0.5381613669
24	0.5354285229
25	0.5340536366
26	0.5332659638
27	0.5309834213
28	0.529900513
29	0.5256665475
30	0.5219766081
31	0.5212438544
32	0.520055008
33	0.5192825561
34	0.5186560762
35	0.5167916548
36	0.5159063449
37	0.5154832311
38	0.5145939734
39	0.5141621385
40	0.5132264504
41	0.5127858591
42	0.5122549164
43	0.5080515253
44	0.5076121824
45	0.5072837701
46	0.5069110031
47	0.5062329287
48	0.505696111
49	0.5043210488
50	0.5039046902
51	0.5037092716
52	0.5015477418
53	0.5009518781
54	0.4989527311
55	0.4984693536
56	0.4979513836
57	0.4976020342
58	0.4972866944
59	0.4969586916
60	0.4966948554
61	0.4963404292
62	0.496027787
63	0.4946057968
64	0.4944193482
65	0.4941896285
66	0.4930572957
67	0.4928763662
68	0.4924615521
69	0.4921392397
70	0.4918290993
71	0.4907815513
72	0.4905929463
73	0.4904871742
74	0.4893687457
75	0.488707453
76	0.4885631384
77	0.4883968101
78	0.4881194663
79	0.4879876341
80	0.487863895
81	0.4874333055
82	0.4869089227
83	0.4867631303
84	0.486583291
85	0.4864232062
86	0.486164674
87	0.4859559306
88	0.4857406903
89	0.4856485241
90	0.485507218
91	0.4851744739
92	0.4850074426
93	0.4848393155
94	0.4846273747
95	0.4844516621
96	0.4843005767
97	0.4842075078
98	0.4834705809
99	0.4833056021
100	0.4829587299
101	0.4827743827
102	0.4826151355
103	0.4825359528
104	0.4817492932
105	0.4813930629
106	0.4812822638
107	0.4811608828
108	0.4810522032
109	0.4808791393
110	0.480184933
111	0.4799468259
112	0.4797922156
113	0.4796885478
114	0.479336843
115	0.4791591615
116	0.4788739795
117	0.47867934
118	0.4785093154
119	0.4782504751
120	0.4780457951
121	0.4778399111
122	0.4776207481
123	0.477435522
124	0.4765725147
125	0.4763161137
126	0.4760996283
127	0.4757676208
128	0.4750889868
129	0.474974071
130	0.4747765301
131	0.4746468726
132	0.4743775121
133	0.4737565195
134	0.4735529313
135	0.4732465529
136	0.4729040491
137	0.472732141
138	0.4724781407
139	0.4723340306
140	0.4722586483
141	0.4718866354
142	0.4717765217
143	0.4715404377
144	0.4713725275
145	0.4711411076
146	0.4710627278
147	0.47089468
148	0.4707914359
149	0.4706973948
150	0.4706139204
151	0.4704176405
152	0.47029612
153	0.4700821836
154	0.4699055463
155	0.4697420777
156	0.4694490072
157	0.469376682
158	0.469265718
159	0.4691296512
160	0.4690428591
161	0.468620091
162	0.4684437747
163	0.4680111878
164	0.4678795425
165	0.4677207716
166	0.4676324695
167	0.4673779394
168	0.4672383668
169	0.4669356313
170	0.4668341377
171	0.4666181353
172	0.4664204104
173	0.4663504216
174	0.4662221921
175	0.4660852622
176	0.4659753893
177	0.4658276032
178	0.4656759505
179	0.4655389348
180	0.4654353896
181	0.4653045167
182	0.4651721422
183	0.4649540855
184	0.4648752544
185	0.4647824649
186	0.4646175032
187	0.4645463817
188	0.464429488
189	0.4643395276
190	0.4642391551
191	0.4640786545
192	0.4639467157
193	0.4638620378
194	0.4633239848
195	0.4631147399
196	0.4630152819
197	0.4629310613
198	0.4625807259
199	0.4625242373
200	0.4624367783
201	0.4622595734
202	0.4621973173
203	0.4621077631
204	0.4619822557
205	0.4618573027
206	0.4618044148
207	0.4617224918
208	0.4616334833
209	0.4615760799
210	0.4614252853
211	0.4613308252
212	0.4610610251
213	0.4608076939
214	0.4607279325
215	0.4605853395
216	0.4604789718
217	0.4603597352
218	0.4602908706
219	0.4602089912
220	0.460115055
221	0.4600051947
222	0.4599131238
223	0.4597712734
224	0.4596947409
225	0.459621798
226	0.4594343036
227	0.4593322622
228	0.4592201389
229	0.4591081931
230	0.4589949772
231	0.4588782477
232	0.4587830347
233	0.4581395787
234	0.4580669678
235	0.4579033114
236	0.4576616623
237	0.457544251
238	0.4574434098
239	0.457370247
240	0.4573069705
241	0.4572182889
242	0.4571631214
243	0.4568887914
244	0.4568316308
245	0.4567673051
246	0.4566459432
247	0.4564788262
248	0.4563833713
249	0.4562893049
250	0.4561909858
251	0.4561402535
252	0.456092149
253	0.4560169444
254	0.4559394038
255	0.4558874385
256	0.4557990761
257	0.4557272892
258	0.4556602015
259	0.4556154086
260	0.4555442341
261	0.4554437507
262	0.4553536693
263	0.4551171987
264	0.4550398082
265	0.4549660607
266	0.4548919465
267	0.4548376826
268	0.4546648394
269	0.4545736068
270	0.4544746321
271	0.4544214168
272	0.4543448736
273	0.4542443608
274	0.4540521205
275	0.4539633975
276	0.4539230908
277	0.4538436012
278	0.4537608174
279	0.453671455
280	0.4535952675
281	0.4535374517
282	0.4534706773
283	0.4534293336
284	0.4533606329
285	0.4531031872
286	0.453049313
287	0.4529374801
288	0.4528439403
289	0.4528054764
290	0.4527529776
291	0.4527048231
292	0.4526521398
293	0.4525674629
294	0.4524077547
295	0.4523151095
296	0.4521901959
297	0.4521228275
298	0.4520881846
299	0.4520131516
300	0.4519644102
301	0.4519128236
302	0.4518391377
303	0.4517730521
304	0.451672935
305	0.4516145121
306	0.4514686753
307	0.4514119852
308	0.4513204937
309	0.451282333
310	0.4512059201
311	0.4510456867
312	0.4509539932
313	0.4508883383
314	0.4508303735
315	0.4507694051
316	0.4507134742
317	0.4506174284
318	0.4505659661
319	0.4504784098
320	0.4503891146
321	0.4503007635
322	0.4502340183
323	0.4501551305
324	0.4501052682
325	0.4499767807
326	0.4499118244
327	0.4498161081
328	0.4497730807
329	0.4496869603
330	0.4496392743
331	0.4495674433
332	0.44944823
333	0.4494169324
334	0.44934924
335	0.4492916189
336	0.4492471716
337	0.4491446732
338	0.448959292
339	0.4488578751
340	0.4488073183
341	0.4487661199
342	0.448696855
343	0.4486247165
344	0.4485592532
345	0.4483892405
346	0.4483272727
347	0.4482734999
348	0.4482004812
349	0.4481424788
350	0.4479918061
351	0.4479329488
352	0.4478431978
353	0.4478040454
354	0.4477771435
355	0.4476647346
356	0.4476013214
357	0.4475027502
358	0.4474468218
359	0.4471765322
360	0.4471019901
361	0.4470055735
362	0.4469611221
363	0.4469134002
364	0.4468595802
365	0.4468144544
366	0.4467447375
367	0.4466930546
368	0.4466487053
369	0.4465866931
370	0.4465297067
371	0.4464371607
372	0.4463767775
373	0.4463195582
374	0.4462642304
375	0.4461993908
376	0.4461034651
377	0.4460572626
378	0.4459847098
379	0.4459201245
380	0.4458642175
381	0.4458039376
382	0.4457825714
383	0.4457222391
384	0.4456794266
385	0.4456135255
386	0.4455537634
387	0.4454918357
388	0.4453546414
389	0.445248595
390	0.4451997455
391	0.4451178147
392	0.4450570503
393	0.4449544684
394	0.4449003744
395	0.4448652899
396	0.444797266
397	0.444750191
398	0.4446769926
399	0.4446377571
400	0.4445914812
401	0.44455171
402	0.4444879001
403	0.4444163036
404	0.4443610665
405	0.4443108113
406	0.4442362812
407	0.4441770274
408	0.4441392707
409	0.4440776309
410	0.444046493
411	0.4439795882
412	0.4438962465
413	0.4438548098
414	0.4438069363
415	0.4437596735
416	0.4437113896
417	0.4436582354
418	0.4436105176
419	0.4435606967
420	0.443507897
421	0.4434561932
422	0.4434024986
423	0.4433028979
424	0.4432287764
425	0.4431663573
426	0.4431104651
427	0.4430573338
428	0.4430197398
429	0.4429781827
430	0.4429212836
431	0.4428744853
432	0.4428155444
433	0.4427604273
434	0.442712246
435	0.4426696093
436	0.4425987652
437	0.4425394893
438	0.4424905012
439	0.4424339596
440	0.4423846466
441	0.4423443069
442	0.4422790186
443	0.4422340167
444	0.4421396497
445	0.4420938487
446	0.4420348569
447	0.4419502383
448	0.4418918134
449	0.4418422893
450	0.4418076643
451	0.4417588651
452	0.4416501072
453	0.4415874515
454	0.4414652761
455	0.44139557
456	0.441355414
457	0.4412750617
458	0.4411706955
459	0.4410863009
460	0.4410417622
461	0.4409966952
462	0.4409410502
463	0.4406940259
464	0.4406577117
465	0.4406191309
466	0.4405699737
467	0.440523872
468	0.4404474905
469	0.4403882841
470	0.4403446186
471	0.4402938248
472	0.4402520911
473	0.4402111722
474	0.4401400597
475	0.4400748856
476	0.4400046845
477	0.4399773875
478	0.4399370438
479	0.4398484846
480	0.4398097824
481	0.4397490498
482	0.4396774093
483	0.4396288013
484	0.4395805417
485	0.4395356921
486	0.4394854211
487	0.4394226271
488	0.4393720668
489	0.43932762
490	0.4392727755
491	0.4392314168
492	0.4392049649
493	0.4391634226
494	0.4390973804
495	0.4390654474
496	0.439015868
497	0.4389261173
498	0.4388476978
499	0.4387877303
500	0.438703427
501	0.4386607569
502	0.4386114296
503	0.4385361301
504	0.4384980389
505	0.4384557372
506	0.4383536751
507	0.4382956734
508	0.4382495232
509	0.4382082808
510	0.4381380582
511	0.4380889454
512	0.4380406147
513	0.4379940853
514	0.437943111
515	0.437874724
516	0.4378191763
517	0.4377440436
518	0.4377073274
519	0.4376538231
520	0.4375001877
521	0.4374370898
522	0.4373840869
523	0.437332002
524	0.4372945471
525	0.4372623479
526	0.4372108999
527	0.437160327
528	0.43707691
529	0.4369986884
530	0.4369503352
531	0.4369109828
532	0.4368607354
533	0.4368183629
534	0.4367429737
535	0.4366901544
536	0.4366511295
537	0.4366142168
538	0.4365632083
539	0.4365071276
540	0.4364626555
541	0.436415242
542	0.4363639419
543	0.4362690776
544	0.4361868503
545	0.4361302612
546	0.4360982678
547	0.4360551224
548	0.4360119244
549	0.4359778242
550	0.435937426
551	0.4359014668
552	0.4358293926
553	0.4357799597
554	0.4357177011
555	0.4356684181
556	0.4356132272
557	0.4355641701
558	0.4354956914
559	0.4354543987
560	0.4353988901
561	0.435333427
562	0.4352905859
563	0.4352527583
564	0.4351985834
565	0.4351352865
566	0.4350716948
567	0.435005419
568	0.4349581114
569	0.4348929708
570	0.4348381316
571	0.4347925623
572	0.4347565785
573	0.4347121637
574	0.4346460606
575	0.4346183387
576	0.4345744269
577	0.4345055267
578	0.4344512217
579	0.4344203057
580	0.434288809
581	0.4342536683
582	0.4341998512
583	0.4341681501
584	0.4341259158
585	0.4340812753
586	0.4340348143
587	0.4339596939
588	0.4339167059
589	0.4338940154
590	0.4338281745
591	0.4337533717
592	0.4337113036
593	0.4336339892
594	0.4335618085
595	0.4335370358
596	0.4334400135
597	0.4333781428
598	0.433334062
599	0.4332933756
600	0.4332410203
601	0.4331884698
602	0.4331393
603	0.4330797615
604	0.4330386865
605	0.4329961907
606	0.432939628
607	0.4328849901
608	0.4328021209
609	0.4327523815
610	0.432706858
611	0.4326722656
612	0.4326270163
613	0.4325837972
614	0.4325197946
615	0.4324705995
616	0.4324410829
617	0.4324052427
618	0.4323326354
619	0.4322896434
620	0.4321032628
621	0.4320513028
622	0.4320055341
623	0.4319631026
624	0.4319015025
625	0.4318516852
626	0.431795757
627	0.4317667042
628	0.431716782
629	0.431659622
630	0.4315965871
631	0.4315570413
632	0.4315116012
633	0.4314266106
634	0.4313756116
635	0.4313473969
636	0.4313043985
637	0.4312643094
638	0.4312271112
639	0.4311770594
640	0.431135731
641	0.4310562429
642	0.4310181919
643	0.430973045
644	0.4309349971
645	0.430882705
646	0.4307074305
647	0.4306803725
648	0.4306429516
649	0.4305984548
650	0.4305531191
651	0.4305109879
652	0.4304686879
653	0.4304083758
654	0.4303680479
655	0.4303183335
656	0.430240104
657	0.4302004014
