iter	Passed	Remaining
0	216	216003
1	243	121427
2	271	90249
3	299	74559
4	338	67299
5	364	60434
6	392	55646
7	420	52104
8	453	49961
9	481	47679
10	510	45876
11	537	44294
12	565	42938
13	592	41700
14	617	40566
15	647	39833
16	678	39228
17	704	38445
18	729	37669
19	754	36986
20	782	36457
21	809	35968
22	836	35516
23	865	35215
24	897	34998
25	925	34682
26	951	34297
27	981	34059
28	1008	33771
29	1038	33583
30	1066	33328
31	1100	33291
32	1127	33039
33	1153	32784
34	1181	32568
35	1208	32355
36	1234	32119
37	1259	31891
38	1291	31823
39	1320	31680
40	1349	31569
41	1375	31376
42	1401	31190
43	1426	31000
44	1455	30882
45	1479	30685
46	1506	30547
47	1536	30478
48	1565	30384
49	1593	30284
50	1619	30144
51	1644	29989
52	1671	29857
53	1697	29737
54	1721	29586
55	1752	29548
56	1778	29425
57	1805	29322
58	1830	29199
59	1856	29081
60	1881	28960
61	1906	28850
62	1934	28765
63	1967	28772
64	1991	28653
65	2017	28552
66	2043	28462
67	2068	28351
68	2094	28264
69	2121	28181
70	2149	28127
71	2180	28109
72	2205	28004
73	2230	27914
74	2255	27822
75	2282	27747
76	2311	27704
77	2339	27652
78	2369	27618
79	2398	27579
80	2424	27511
81	2449	27426
82	2476	27361
83	2501	27275
84	2526	27202
85	2552	27124
86	2583	27107
87	2614	27099
88	2643	27063
89	2670	27006
90	2696	26934
91	2720	26853
92	2745	26775
93	2771	26708
94	2796	26639
95	2828	26635
96	2853	26567
97	2878	26494
98	2905	26442
99	2929	26369
100	2956	26316
101	2984	26274
102	3020	26302
103	3052	26294
104	3079	26251
105	3106	26201
106	3132	26142
107	3157	26081
108	3182	26014
109	3208	25959
110	3236	25924
111	3269	25921
112	3294	25858
113	3321	25811
114	3346	25753
115	3373	25709
116	3400	25660
117	3425	25601
118	3452	25559
119	3483	25542
120	3509	25494
121	3536	25451
122	3561	25392
123	3588	25349
124	3616	25312
125	3642	25269
126	3671	25235
127	3701	25215
128	3731	25195
129	3759	25158
130	3787	25122
131	3814	25083
132	3842	25051
133	3871	25019
134	3901	24998
135	3932	24983
136	3962	24959
137	3988	24915
138	4015	24873
139	4042	24831
140	4069	24791
141	4097	24756
142	4125	24727
143	4153	24688
144	4179	24642
145	4205	24597
146	4230	24545
147	4257	24509
148	4284	24471
149	4312	24436
150	4341	24411
151	4367	24367
152	4394	24329
153	4421	24289
154	4446	24243
155	4473	24205
156	4502	24173
157	4529	24136
158	4557	24103
159	4582	24059
160	4609	24021
161	4638	23994
162	4666	23959
163	4695	23934
164	4720	23888
165	4752	23878
166	4778	23832
167	4804	23792
168	4828	23743
169	4858	23719
170	4884	23677
171	4909	23633
172	4936	23595
173	4962	23557
174	4992	23536
175	5019	23499
176	5044	23456
177	5072	23425
178	5101	23396
179	5126	23355
180	5153	23316
181	5185	23306
182	5212	23270
183	5254	23304
184	5281	23265
185	5305	23218
186	5334	23191
187	5359	23148
188	5387	23119
189	5418	23101
190	5446	23068
191	5472	23030
192	5498	22989
193	5522	22945
194	5549	22911
195	5574	22866
196	5601	22832
197	5632	22812
198	5660	22785
199	5684	22739
200	5710	22700
201	5737	22665
202	5762	22623
203	5788	22585
204	5814	22549
205	5842	22517
206	5871	22493
207	5898	22459
208	5923	22419
209	5947	22373
210	5974	22339
211	5998	22297
212	6024	22259
213	6051	22225
214	6081	22205
215	6114	22194
216	6146	22178
217	6179	22167
218	6210	22148
219	6239	22123
220	6269	22100
221	6301	22084
222	6335	22073
223	6370	22068
224	6401	22051
225	6434	22037
226	6461	22001
227	6493	21987
228	6522	21959
229	6549	21927
230	6577	21896
231	6609	21879
232	6639	21857
233	6673	21844
234	6708	21839
235	6741	21825
236	6774	21809
237	6806	21792
238	6837	21770
239	6867	21748
240	6897	21723
241	6931	21710
242	6961	21686
243	6989	21655
244	7015	21619
245	7041	21584
246	7071	21557
247	7099	21526
248	7128	21499
249	7159	21477
250	7187	21447
251	7215	21416
252	7240	21377
253	7270	21352
254	7296	21316
255	7322	21279
256	7351	21254
257	7378	21221
258	7410	21202
259	7434	21159
260	7464	21136
261	7493	21108
262	7525	21088
263	7557	21070
264	7589	21051
265	7626	21043
266	7657	21022
267	7688	20999
268	7721	20981
269	7757	20972
270	7788	20950
271	7827	20949
272	7864	20942
273	7900	20932
274	7933	20914
275	7966	20896
276	7994	20865
277	8024	20840
278	8058	20825
279	8091	20806
280	8125	20791
281	8157	20768
282	8187	20742
283	8215	20711
284	8249	20695
285	8284	20682
286	8314	20656
287	8346	20635
288	8379	20614
289	8407	20584
290	8437	20557
291	8466	20527
292	8499	20507
293	8529	20482
294	8559	20456
295	8593	20439
296	8628	20423
297	8660	20401
298	8690	20374
299	8724	20356
300	8753	20327
301	8781	20296
302	8817	20283
303	8852	20267
304	8888	20255
305	8926	20245
306	8970	20250
307	9008	20239
308	9040	20216
309	9070	20190
310	9109	20181
311	9147	20171
312	9182	20154
313	9223	20149
314	9258	20134
315	9292	20115
316	9336	20115
317	9377	20111
318	9418	20106
319	9453	20087
320	9485	20063
321	9514	20034
322	9548	20013
323	9582	19992
324	9614	19969
325	9648	19948
326	9683	19930
327	9714	19903
328	9742	19870
329	9777	19852
330	9811	19829
331	9844	19806
332	9873	19777
333	9905	19751
334	9937	19726
335	9969	19701
336	10001	19677
337	10034	19652
338	10069	19633
339	10099	19604
340	10128	19573
341	10160	19548
342	10190	19519
343	10223	19496
344	10256	19472
345	10287	19444
346	10316	19413
347	10345	19382
348	10374	19351
349	10402	19319
350	10431	19288
351	10462	19260
352	10490	19227
353	10515	19190
354	10540	19150
355	10571	19123
356	10598	19090
357	10629	19061
358	10657	19028
359	10691	19007
360	10716	18968
361	10741	18931
362	10768	18896
363	10797	18865
364	10823	18830
365	10854	18802
366	10887	18778
367	10912	18740
368	10939	18706
369	10966	18673
370	10992	18636
371	11018	18600
372	11043	18563
373	11067	18524
374	11094	18491
375	11124	18462
376	11151	18427
377	11177	18392
378	11204	18358
379	11230	18323
380	11258	18291
381	11284	18256
382	11308	18217
383	11339	18191
384	11366	18157
385	11393	18123
386	11422	18092
387	11449	18060
388	11477	18027
389	11503	17992
390	11533	17963
391	11561	17931
392	11589	17900
393	11617	17868
394	11646	17838
395	11676	17809
396	11701	17773
397	11728	17740
398	11760	17714
399	11785	17678
400	11817	17652
401	11846	17621
402	11872	17587
403	11896	17550
404	11920	17513
405	11946	17478
406	11978	17452
407	12008	17423
408	12038	17396
409	12072	17372
410	12099	17339
411	12132	17314
412	12163	17288
413	12194	17261
414	12226	17234
415	12258	17209
416	12289	17181
417	12324	17159
418	12356	17133
419	12389	17108
420	12426	17090
421	12458	17064
422	12489	17036
423	12519	17007
424	12554	16985
425	12581	16952
426	12607	16918
427	12633	16883
428	12665	16857
429	12692	16824
430	12718	16790
431	12744	16756
432	12771	16723
433	12798	16691
434	12824	16656
435	12855	16630
436	12883	16598
437	12913	16569
438	12939	16535
439	12967	16503
440	12992	16469
441	13019	16436
442	13046	16404
443	13075	16373
444	13107	16347
445	13133	16313
446	13159	16279
447	13184	16245
448	13212	16213
449	13236	16178
450	13260	16142
451	13290	16113
452	13323	16088
453	13353	16059
454	13380	16027
455	13409	15996
456	13434	15962
457	13463	15932
458	13495	15906
459	13529	15882
460	13561	15856
461	13590	15826
462	13620	15796
463	13649	15767
464	13677	15736
465	13703	15703
466	13736	15678
467	13764	15646
468	13791	15614
469	13816	15580
470	13846	15551
471	13877	15524
472	13910	15498
473	13943	15472
474	13974	15445
475	14004	15416
476	14039	15393
477	14068	15363
478	14101	15337
479	14139	15318
480	14175	15295
481	14207	15268
482	14241	15244
483	14279	15223
484	14313	15198
485	14345	15171
486	14383	15151
487	14419	15128
488	14449	15099
489	14482	15073
490	14513	15045
491	14543	15016
492	14575	14989
493	14606	14961
494	14641	14936
495	14672	14909
496	14706	14884
497	14740	14859
498	14775	14834
499	14807	14807
500	14840	14781
501	14869	14750
502	14898	14721
503	14926	14689
504	14954	14658
505	14987	14632
506	15019	14604
507	15050	14576
508	15084	14551
509	15115	14522
510	15145	14493
511	15176	14465
512	15208	14437
513	15236	14406
514	15273	14383
515	15304	14355
516	15335	14326
517	15367	14299
518	15397	14269
519	15426	14239
520	15463	14217
521	15501	14194
522	15536	14169
523	15568	14142
524	15602	14116
525	15630	14085
526	15664	14059
527	15710	14044
528	15748	14021
529	15787	14000
530	15825	13978
531	15862	13954
532	15896	13928
533	15935	13906
534	15978	13887
535	16017	13866
536	16056	13843
537	16093	13820
538	16130	13796
539	16169	13774
540	16208	13751
541	16243	13726
542	16274	13697
543	16308	13670
544	16341	13642
545	16370	13611
546	16409	13589
547	16439	13559
548	16469	13529
549	16497	13497
550	16526	13467
551	16556	13437
552	16587	13408
553	16619	13379
554	16649	13349
555	16679	13319
556	16711	13291
557	16741	13260
558	16776	13235
559	16806	13205
560	16839	13177
561	16869	13147
562	16903	13120
563	16936	13092
564	16970	13066
565	17006	13040
566	17037	13011
567	17071	12983
568	17103	12955
569	17131	12923
570	17160	12892
571	17191	12863
572	17220	12832
573	17249	12802
574	17279	12771
575	17309	12741
576	17339	12711
577	17371	12682
578	17400	12651
579	17432	12623
580	17461	12592
581	17490	12561
582	17522	12533
583	17549	12501
584	17579	12471
585	17609	12440
586	17639	12410
587	17669	12380
588	17703	12353
589	17733	12323
590	17761	12291
591	17796	12265
592	17823	12233
593	17854	12203
594	17884	12173
595	17913	12142
596	17945	12114
597	17975	12083
598	18005	12053
599	18034	12023
600	18065	11993
601	18097	11964
602	18130	11936
603	18168	11911
604	18199	11881
605	18229	11852
606	18261	11823
607	18291	11793
608	18324	11765
609	18357	11737
610	18391	11708
611	18421	11678
612	18449	11647
613	18479	11617
614	18509	11587
615	18542	11559
616	18573	11529
617	18602	11498
618	18632	11468
619	18661	11437
620	18692	11407
621	18723	11378
622	18753	11348
623	18782	11317
624	18816	11289
625	18846	11259
626	18876	11229
627	18903	11197
628	18933	11167
629	18964	11138
630	18993	11107
631	19027	11079
632	19056	11048
633	19086	11018
634	19116	10988
635	19144	10957
636	19173	10926
637	19207	10898
638	19238	10868
639	19271	10840
640	19300	10809
641	19329	10778
642	19359	10748
643	19392	10720
644	19427	10692
645	19460	10664
646	19493	10635
647	19522	10604
648	19555	10576
649	19586	10546
650	19616	10516
651	19645	10485
652	19675	10455
653	19705	10425
654	19736	10395
655	19766	10365
656	19797	10335
657	19826	10304
658	19856	10274
659	19889	10245
660	19919	10215
661	19950	10186
662	19979	10155
663	20008	10124
664	20039	10094
665	20071	10065
666	20103	10036
667	20132	10006
668	20162	9975
669	20192	9945
670	20222	9915
671	20253	9885
672	20285	9856
673	20317	9827
674	20348	9797
675	20379	9767
676	20410	9738
677	20440	9707
678	20469	9677
679	20501	9647
680	20531	9617
681	20562	9588
682	20591	9557
683	20621	9526
684	20650	9496
685	20682	9466
686	20717	9439
687	20748	9409
688	20778	9378
689	20808	9348
690	20838	9318
691	20869	9288
692	20900	9259
693	20933	9229
694	20964	9200
695	20994	9170
696	21025	9140
697	21052	9108
698	21082	9078
699	21112	9048
700	21142	9017
701	21172	8987
702	21202	8957
703	21233	8927
704	21264	8897
705	21300	8870
706	21328	8839
707	21359	8809
708	21391	8779
709	21424	8750
710	21452	8719
711	21482	8689
712	21511	8658
713	21539	8627
714	21569	8597
715	21600	8567
716	21628	8536
717	21659	8506
718	21688	8476
719	21719	8446
720	21748	8416
721	21777	8385
722	21808	8355
723	21837	8324
724	21866	8294
725	21896	8263
726	21925	8233
727	21957	8203
728	21989	8174
729	22022	8145
730	22051	8114
731	22085	8086
732	22115	8055
733	22146	8025
734	22176	7995
735	22209	7966
736	22240	7936
737	22269	7906
738	22298	7875
739	22326	7844
740	22355	7813
741	22383	7783
742	22412	7752
743	22446	7723
744	22476	7693
745	22504	7662
746	22534	7632
747	22564	7601
748	22593	7571
749	22625	7541
750	22653	7510
751	22684	7481
752	22713	7450
753	22745	7420
754	22773	7390
755	22804	7360
756	22832	7329
757	22862	7299
758	22891	7268
759	22927	7240
760	22958	7210
761	22987	7179
762	23016	7149
763	23044	7118
764	23077	7089
765	23103	7057
766	23135	7027
767	23164	6997
768	23192	6966
769	23223	6936
770	23256	6907
771	23286	6877
772	23318	6847
773	23347	6817
774	23375	6786
775	23406	6756
776	23441	6727
777	23477	6699
778	23511	6670
779	23552	6643
780	23581	6612
781	23612	6582
782	23641	6551
783	23671	6521
784	23704	6492
785	23739	6463
786	23771	6433
787	23804	6404
788	23836	6374
789	23865	6343
790	23894	6313
791	23923	6283
792	23953	6252
793	23986	6223
794	24017	6193
795	24047	6162
796	24078	6132
797	24108	6102
798	24141	6073
799	24170	6042
800	24208	6014
801	24239	5984
802	24270	5954
803	24300	5924
804	24333	5894
805	24364	5864
806	24396	5834
807	24429	5805
808	24457	5774
809	24485	5743
810	24515	5713
811	24547	5683
812	24575	5652
813	24606	5622
814	24641	5593
815	24672	5563
816	24701	5532
817	24730	5502
818	24761	5472
819	24794	5442
820	24822	5412
821	24853	5381
822	24882	5351
823	24912	5321
824	24941	5290
825	24969	5260
826	25001	5229
827	25030	5199
828	25057	5168
829	25089	5138
830	25116	5107
831	25145	5077
832	25175	5047
833	25204	5016
834	25235	4986
835	25266	4956
836	25296	4926
837	25325	4895
838	25353	4865
839	25391	4836
840	25422	4806
841	25452	4776
842	25481	4745
843	25510	4715
844	25539	4684
845	25569	4654
846	25599	4624
847	25628	4593
848	25658	4563
849	25687	4533
850	25721	4503
851	25752	4473
852	25784	4443
853	25814	4413
854	25846	4383
855	25875	4352
856	25902	4322
857	25935	4292
858	25968	4262
859	25996	4232
860	26028	4202
861	26057	4171
862	26088	4141
863	26117	4111
864	26152	4081
865	26180	4051
866	26209	4020
867	26239	3990
868	26274	3960
869	26303	3930
870	26332	3899
871	26361	3869
872	26392	3839
873	26424	3809
874	26459	3779
875	26490	3749
876	26520	3719
877	26552	3689
878	26584	3659
879	26614	3629
880	26642	3598
881	26669	3567
882	26698	3537
883	26728	3507
884	26757	3476
885	26790	3447
886	26820	3416
887	26849	3386
888	26880	3356
889	26908	3325
890	26938	3295
891	26968	3265
892	27000	3235
893	27033	3205
894	27063	3175
895	27094	3144
896	27124	3114
897	27155	3084
898	27187	3054
899	27218	3024
900	27258	2995
901	27289	2964
902	27318	2934
903	27349	2904
904	27380	2874
905	27412	2844
906	27444	2814
907	27475	2783
908	27504	2753
909	27536	2723
910	27567	2693
911	27594	2662
912	27623	2632
913	27653	2601
914	27686	2571
915	27717	2541
916	27748	2511
917	27778	2481
918	27810	2451
919	27838	2420
920	27867	2390
921	27902	2360
922	27933	2330
923	27963	2299
924	27994	2269
925	28025	2239
926	28054	2209
927	28087	2179
928	28122	2149
929	28153	2119
930	28182	2088
931	28208	2058
932	28237	2027
933	28270	1997
934	28301	1967
935	28336	1937
936	28364	1907
937	28392	1876
938	28421	1846
939	28454	1816
940	28486	1786
941	28516	1755
942	28549	1725
943	28584	1695
944	28624	1665
945	28658	1635
946	28693	1605
947	28728	1575
948	28761	1545
949	28789	1515
950	28820	1484
951	28855	1454
952	28886	1424
953	28918	1394
954	28949	1364
955	28984	1334
956	29020	1303
957	29058	1273
958	29095	1243
959	29132	1213
960	29169	1183
961	29200	1153
962	29230	1123
963	29260	1092
964	29291	1062
965	29321	1032
966	29350	1001
967	29381	971
968	29413	940
969	29450	910
970	29483	880
971	29515	850
972	29549	819
973	29582	789
974	29621	759
975	29655	729
976	29688	698
977	29722	668
978	29756	638
979	29788	607
980	29826	577
981	29866	547
982	29902	517
983	29938	486
984	29970	456
985	30001	425
986	30032	395
987	30065	365
988	30095	334
989	30126	304
990	30155	273
991	30186	243
992	30219	213
993	30251	182
994	30288	152
995	30319	121
996	30363	91
997	30400	60
998	30436	30
999	30478	0
